"","Transect","X","Order","Sample","SiteObjectID","Date","Location","Area","Estimate","Biomass","Numbers","Number.Species","Ibi","AdjIbi","Hpi","AdjHpi","Group.1","Group.2","Group.3","Group.4","Include","Flag","Group.3.JDM","fG2.JDM","fG3.JDM","fG4.JDM","Group.4.JDM","Shoreline.Treat.Detail","M1LAT","M1LONG","M2LAT","M2LONG","Mean.Fetch","Time.Period","Temp","Conductivity_0_mid","Do_0_mid","Macrophyte.Density","Transectendnotes","Bedrock","Boulder","Cobble","Rubble","Gravel","Sand","Organic.Silt","Armoustone","LWD","Algae","Proximity.to.river.creek.mouth","Proximity.to.embayment","Transectstartnotes","Habitat.Comments","jdate","Fished","INLA_dist","Nat_5000","Urb_5000","Agr_5000","Wet_5000","For_5000","DomLandCover_5000","DomPercent_5000","Marinas_5000","Rivers_5000","Wetlands_5000","Total_5000","MarinaDist_5000","MarinaArea_5000","MarinaDist_ALL","WetlandDist_5000","WetlandArea_5000","WetlandDist_ALL","RiverDist_5000","RiverStrahler_5000","RiverShreve_5000","RiverDist_ALL","RiverDist_Large","RiverStrahler_Large","RiverShreve_Large","RiverName_Large","ClosestFeature","ClosestDist","NEARSHOREG","NearshoreGeologyCoarse","NearshoreGeologyDetailed","FixedDist","Slope"
"1","AB1a",1,136,9798,1,"7/26/2018","OPEN","Ashbridge's Bay","N",113,7,2,29.0627,2.7189,3.7064,0.2505,"Treated","HardShore","HardShore","Revetment",NA,"OK","HardShore","HardShore","Revetment","Revetment","Revetment","informal rubble placemen, large stone",43.65645,-79.30501,43.65754,-79.30534,31.31438322,2,21.76,311,11.51,0,"Urban, some beach, hardened waterfront trail",0,0,20,10,0,70,0,0,0,0,0,1,"Sand (70%), cobble (20%); rubble (20%)","Looks like armourstone shoreline; adjacent to Ashbridge's Bay",17738,1,71273,9,82,9,0,3,"Urban",82,3,1,1,5,747,173298,747,NA,NA,8581,NA,NA,NA,11109,11109,5,275,"Don River","Marina",747,541,"Sandy Lake Bed","Sandy",3007.209717,-0.004514028
"2","AB1b",2,137,9799,2,"7/26/2018","OPEN","Ashbridge's Bay","N",6458,26,3,12.4563,7.5848,37.5108,26.7761,"Treated","HardShore","HardShore","Revetment",NA,"OK","HardShore","HardShore","Revetment","Revetment","Revetment","informal rubble placemen, large stone",43.65754,-79.30534,43.65853,-79.30581,31.4057261,2,21.76,311,11.51,0,"Urban, some beach, hardened waterfront trail",0,0,20,10,0,70,0,0,0,0,0,1,"Sand (70%), cobble (20%); rubble (20%)","Looks like armourstone shoreline; adjacent to Ashbridge's Bay",17738,1,71397,9,82,9,0,3,"Urban",82,3,1,1,5,849,173298,849,NA,NA,8684,NA,NA,NA,11211,11211,5,275,"Don River","Marina",849,541,"Sandy Lake Bed","Sandy",3113.762695,-0.004357217
"3","AB1c",3,138,9800,3,"7/26/2018","OPEN","Ashbridge's Bay","N",70,6,2,33.1227,10.8832,2.4446,0.6143,"Treated","HardShore","HardShore","Revetment",NA,"OK","HardShore","HardShore","Revetment","Revetment","Revetment","informal rubble placemen, large stone",43.65853,-79.30581,43.66003,-79.30487,37.18265268,2,21.76,311,11.51,0,"Urban, some beach, hardened waterfront trail",0,0,20,10,0,70,0,0,0,0,0,1,"Sand (70%), cobble (20%); rubble (20%)","Looks like armourstone shoreline; adjacent to Ashbridge's Bay",17738,1,71513,9,82,9,0,3,"Urban",82,3,1,1,5,994,173298,994,NA,NA,8828,NA,NA,NA,11356,11356,5,275,"Don River","Marina",994,541,"Sandy Lake Bed","Sandy",3199.230957,-0.004231087
"4","AB2a",4,139,9801,5,"7/26/2018","OPEN","Ashbridge's Bay","N",40,3,2,19.4444,5.4282,1.4123,0.3671,"Treated","HardShore","HardShore","Revetment",NA,"OK","HardShore","HardShore","Revetment","Revetment","Revetment","informal rubble placemen, large stone",43.6556,-79.31135,43.6552,-79.31023,7.297859784,2,21.71,322,8.86,0,"Urban, some beach, hardened waterfront trail",0,0,0,20,0,30,0,50,0,0,0,1,"Armoustone (50%), rubble (20%), sand (30%)","Looks like armourstone shoreline; adjacent to Ashbridge's Bay",17738,1,70680,9,82,9,1,3,"Urban",82,3,1,1,5,175,173298,175,NA,NA,8220,NA,NA,NA,10747,10747,5,275,"Don River","Marina",175,541,"Sandy Lake Bed","Sandy",3135.878174,-0.004254595
"5","AB2b",5,140,9802,7,"7/26/2018","OPEN","Ashbridge's Bay","N",108,7,4,42.1886,11.4958,3.4975,0.9111,"Treated","HardShore","HardShore","Revetment",NA,"OK","Mixed","Mixed","Mixed","Mixed","Mixed","informal rubble placement, sand/cobble/rubble beach",43.6552,-79.31023,43.65469,-79.30913,7.297859784,2,21.71,322,8.86,0,"Urban, some beach, hardened waterfront trail",0,0,0,20,0,30,0,50,0,0,0,1,"Armoustone (50%), rubble (20%), sand (30%)","Looks like armourstone shoreline; adjacent to Ashbridge's Bay",17738,1,70781,9,82,9,1,3,"Urban",82,3,1,1,5,307,173298,307,NA,NA,8240,NA,NA,NA,10767,10767,5,275,"Don River","Marina",307,541,"Sandy Lake Bed","Sandy",3056.733643,-0.00438907
"6","AB2c",6,141,9803,9,"7/26/2018","OPEN","Ashbridge's Bay","N",114,5,1,22.2222,0,3.3582,0,"Treated","HardShore","HardShore","Revetment",NA,"OK","HardShore","HardShore","Revetment","Revetment","Revetment","informal rubble placemen, large stone",43.65469,-79.30913,43.65406,-79.30829,8.848470737,2,21.71,322,8.86,0,"Urban, some beach, hardened waterfront trail",0,0,0,20,0,30,0,50,0,0,0,1,"Armoustone (50%), rubble (20%), sand (30%)","Looks like armourstone shoreline; adjacent to Ashbridge's Bay",17738,1,70886,9,82,9,1,2,"Urban",82,3,1,1,5,422,173298,422,NA,NA,8217,NA,NA,NA,10744,10744,5,275,"Don River","Marina",422,541,"Sandy Lake Bed","Sandy",2973.283936,-0.004535751
"7","AC1",7,94,9701,10,"8/14/2018","OPEN","Appleby Creek ","N",10,1,1,30.2847,30.2847,0.3931,0.3931,"Mixed","Mixed","Mixed","Mixed",NA,"OK","Mixed","Mixed","Mixed","Mixed","Mixed","armourstone/rubble revetment and cobble beach",43.36381,-79.7353,43.36315,-79.73621,7.393401027,2,24.19,300,11.05,0,"Urban; armourstone 80%; cobble beach 20%",90,5,5,0,0,0,0,0,0,1,0,0,"Bedrock (90%); boulder (5%); cobble (5%)","Small cobble beach",17757,1,10816,7,82,10,2,4,"Urban",82,2,6,1,9,4378,50059,4378,4962,47729,4962,594,2,7,594,4353,5,279,"Bronte Creek","River",594,561,"Bedrock (Erosive)","Bedrock (Erosive)",1632.567505,-0.008044501
"8","AC2",8,95,9702,11,"8/14/2018","OPEN","Appleby Creek ","N",0,0,0,0,0,0,0,"Treated","HardShore","HardShore","Revetment",NA,"OK","HardShore","HardShore","Revetment","Revetment","Revetment","armourstone/rubble revetment",43.36255,-79.73726,43.36201,-79.73829,24.71051164,2,24.19,300,11.05,0,"Urban",90,0,10,0,0,0,0,0,0,1,0,0,"Bedrock (90%); cobble (10%)","",17757,0,10604,7,83,10,2,4,"Urban",83,2,6,1,9,4590,50059,4590,NA,NA,5174,382,2,7,382,4565,5,279,"Bronte Creek","River",382,561,"Bedrock (Erosive)","Bedrock (Erosive)",1645.963989,-0.008060944
"9","AC3",9,96,9703,12,"8/14/2018","OPEN","Appleby Creek ","N",126,8,2,55.5042,21.9704,3.5418,1.5677,"Treated","HardShore","HardShore","Revetment",NA,"OK","HardShore","HardShore","Revetment","Revetment","Revetment","concrete revetment",43.36158,-79.73885,43.36097,-79.73979,24.6365467,2,24.19,300,11.05,0,"Urban",70,0,30,0,0,0,0,0,0,1,1,0,"Bedrock (70%); cobble (30%)","",17757,1,10436,7,84,9,2,4,"Urban",84,2,6,1,9,4760,50059,4760,NA,NA,5344,212,2,7,212,4735,5,279,"Bronte Creek","River",212,561,"Bedrock (Erosive)","Bedrock (Erosive)",1668.909058,-0.008038913
"10","AC4",10,97,9704,13,"8/14/2018","OPEN","Appleby Creek ","N",152,11,3,29.5836,19.746,5.1656,3.695,"Treated","HardShore","HardShore","Revetment",NA,"OK","HardShore","HardShore","Revetment","Revetment","Revetment","concrete revetment",43.36083,-79.73995,43.36025,-79.74091,26.91639606,2,24.55,448,10.22,0,"Urban; concrete wall ends at the mouth of Appleby Creek",0,5,95,0,0,0,0,0,0,1,1,0,"Cobble (95%); boulder (5%)","",17757,1,10314,7,84,9,2,4,"Urban",84,2,6,1,9,4887,50059,4887,NA,NA,5471,85,2,7,85,4862,5,279,"Bronte Creek","River",85,561,"Bedrock (Erosive)","Bedrock (Erosive)",1694.694824,-0.007988974
